Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
León;2009;1.503.247;Toneladas equivalentes de petróleo;12;meses
Palencia;2009;221.533;Toneladas equivalentes de petróleo;12;meses
Salamanca;2009;275.127;Toneladas equivalentes de petróleo;12;meses
Segovia;2009;8.312;Toneladas equivalentes de petróleo;12;meses
Soria;2009;184.750;Toneladas equivalentes de petróleo;12;meses
Valladolid;2009;21.792;Toneladas equivalentes de petróleo;12;meses
Zamora;2009;205.756;Toneladas equivalentes de petróleo;12;meses
Ávila;2010;33.829;Toneladas equivalentes de petróleo;12;meses
Burgos;2010;1.251.710;Toneladas equivalentes de petróleo;12;meses
León;2010;1.231.658;Toneladas equivalentes de petróleo;12;meses
Palencia;2010;205.759;Toneladas equivalentes de petróleo;12;meses
Salamanca;2010;596.992;Toneladas equivalentes de petróleo;12;meses
Segovia;2010;8.933;Toneladas equivalentes de petróleo;12;meses
Soria;2010;198.629;Toneladas equivalentes de petróleo;12;meses
Valladolid;2010;20.270;Toneladas equivalentes de petróleo;12;meses
Zamora;2010;356.862;Toneladas equivalentes de petróleo;12;meses
Ávila;2011;50.222;Toneladas equivalentes de petróleo;12;meses
Burgos;2011;1.261.968;Toneladas equivalentes de petróleo;12;meses
León;2011;907.114;Toneladas equivalentes de petróleo;12;meses
Palencia;2011;195.722;Toneladas equivalentes de petróleo;12;meses
Salamanca;2011;482.384;Toneladas equivalentes de petróleo;12;meses
Segovia;2011;11.436;Toneladas equivalentes de petróleo;12;meses
Soria;2011;186.259;Toneladas equivalentes de petróleo;12;meses
Valladolid;2011;41.414;Toneladas equivalentes de petróleo;12;meses
Zamora;2011;271.480;Toneladas equivalentes de petróleo;12;meses
Ávila;2012;60.092;Toneladas equivalentes de petróleo;12;meses
Burgos;2012;1.367.936;Toneladas equivalentes de petróleo;12;meses
León;2012;850.638;Toneladas equivalentes de petróleo;12;meses
Palencia;2012;156.180;Toneladas equivalentes de petróleo;12;meses
Salamanca;2012;371.158;Toneladas equivalentes de petróleo;12;meses
Segovia;2012;11.925;Toneladas equivalentes de petróleo;12;meses
Soria;2012;246.528;Toneladas equivalentes de petróleo;12;meses
Valladolid;2012;47.726;Toneladas equivalentes de petróleo;12;meses
Zamora;2012;176.157;Toneladas equivalentes de petróleo;12;meses
Ávila;2013;65.383;Toneladas equivalentes de petróleo;12;meses
Burgos;2013;402.237;Toneladas equivalentes de petróleo;12;meses
León;2013;617.731;Toneladas equivalentes de petróleo;12;meses
Palencia;2013;177.850;Toneladas equivalentes de petróleo;12;meses
Salamanca;2013;391.037;Toneladas equivalentes de petróleo;12;meses
Segovia;2013;13.210;Toneladas equivalentes de petróleo;12;meses
Soria;2013;263.223;Toneladas equivalentes de petróleo;12;meses
Valladolid;2013;57.540;Toneladas equivalentes de petróleo;12;meses
Zamora;2013;308.397;Toneladas equivalentes de petróleo;12;meses
Ávila;2014;71.339;Toneladas equivalentes de petróleo;12;meses
Burgos;2014;380.728;Toneladas equivalentes de petróleo;12;meses
León;2014;655.286;Toneladas equivalentes de petróleo;12;meses
Palencia;2014;186.502;Toneladas equivalentes de petróleo;12;meses
Salamanca;2014;572.081;Toneladas equivalentes de petróleo;12;meses
Segovia;2014;12.788;Toneladas equivalentes de petróleo;12;meses
Soria;2014;259.228;Toneladas equivalentes de petróleo;12;meses
Valladolid;2014;55.994;Toneladas equivalentes de petróleo;12;meses
Zamora;2014;366.074;Toneladas equivalentes de petróleo;12;meses
