Provincia;Fecha validez;Valor;Unidad;Frecuencia;Escala
Salamanca;2009;8.126;Toneladas equivalentes de petróleo;12;meses
Segovia;2009;7.673;Toneladas equivalentes de petróleo;12;meses
Soria;2009;183.166;Toneladas equivalentes de petróleo;12;meses
Valladolid;2009;21.220;Toneladas equivalentes de petróleo;12;meses
Zamora;2009;80.264;Toneladas equivalentes de petróleo;12;meses
Ávila;2010;26.307;Toneladas equivalentes de petróleo;12;meses
Burgos;2010;237.184;Toneladas equivalentes de petróleo;12;meses
León;2010;43.726;Toneladas equivalentes de petróleo;12;meses
Palencia;2010;97.764;Toneladas equivalentes de petróleo;12;meses
Salamanca;2010;8.850;Toneladas equivalentes de petróleo;12;meses
Segovia;2010;8.074;Toneladas equivalentes de petróleo;12;meses
Soria;2010;197.053;Toneladas equivalentes de petróleo;12;meses
Valladolid;2010;19.452;Toneladas equivalentes de petróleo;12;meses
Zamora;2010;80.609;Toneladas equivalentes de petróleo;12;meses
Ávila;2011;30.425;Toneladas equivalentes de petróleo;12;meses
Burgos;2011;268.644;Toneladas equivalentes de petróleo;12;meses
León;2011;62.130;Toneladas equivalentes de petróleo;12;meses
Palencia;2011;109.293;Toneladas equivalentes de petróleo;12;meses
Salamanca;2011;12.369;Toneladas equivalentes de petróleo;12;meses
Segovia;2011;7.059;Toneladas equivalentes de petróleo;12;meses
Soria;2011;181.690;Toneladas equivalentes de petróleo;12;meses
Valladolid;2011;24.887;Toneladas equivalentes de petróleo;12;meses
Zamora;2011;76.520;Toneladas equivalentes de petróleo;12;meses
Ávila;2012;44.744;Toneladas equivalentes de petróleo;12;meses
Burgos;2012;340.467;Toneladas equivalentes de petróleo;12;meses
León;2012;69.098;Toneladas equivalentes de petróleo;12;meses
Palencia;2012;128.743;Toneladas equivalentes de petróleo;12;meses
Salamanca;2012;32.153;Toneladas equivalentes de petróleo;12;meses
Segovia;2012;7.786;Toneladas equivalentes de petróleo;12;meses
Soria;2012;242.558;Toneladas equivalentes de petróleo;12;meses
Valladolid;2012;29.068;Toneladas equivalentes de petróleo;12;meses
Zamora;2012;90.846;Toneladas equivalentes de petróleo;12;meses
Ávila;2013;48.071;Toneladas equivalentes de petróleo;12;meses
Burgos;2013;386.597;Toneladas equivalentes de petróleo;12;meses
León;2013;69.225;Toneladas equivalentes de petróleo;12;meses
Palencia;2013;156.015;Toneladas equivalentes de petróleo;12;meses
Salamanca;2013;35.688;Toneladas equivalentes de petróleo;12;meses
Segovia;2013;8.571;Toneladas equivalentes de petróleo;12;meses
Soria;2013;258.238;Toneladas equivalentes de petróleo;12;meses
Valladolid;2013;36.378;Toneladas equivalentes de petróleo;12;meses
Zamora;2013;108.750;Toneladas equivalentes de petróleo;12;meses
Ávila;2014;51.230;Toneladas equivalentes de petróleo;12;meses
Burgos;2014;363.933;Toneladas equivalentes de petróleo;12;meses
León;2014;74.439;Toneladas equivalentes de petróleo;12;meses
Palencia;2014;145.140;Toneladas equivalentes de petróleo;12;meses
Salamanca;2014;34.412;Toneladas equivalentes de petróleo;12;meses
Segovia;2014;8.074;Toneladas equivalentes de petróleo;12;meses
Soria;2014;253.848;Toneladas equivalentes de petróleo;12;meses
Valladolid;2014;34.630;Toneladas equivalentes de petróleo;12;meses
Zamora;2014;106.097;Toneladas equivalentes de petróleo;12;meses
